Nome_do_arquivo;SI_env_aaaa;
Descricao_do_arquivo;Acidentes de transito com vitima dados gerais dos envolvidos no acidente de um determinado ano (aaaa);
Data_da_criacao;10/jan;
Nome_do_campo;Layout_do_campo;descricao_do_campo
num_boletim;NUMBER(18);Numero do Boletim de Ocorrência. Exemplo: 206099 ou 2016-000009920-001. Durante 2016 houve uma mudança na lógica de numeração dos boletins em virtude da alteração da forma de recebimento dos dados dos boletins.
 data_hora_boletim;DATE;Data e hora do acidente registrada no Boletim de ocorrência. Exemplo: 24/4/1999 18:10:00
 Nº_envolvido;NUMBER(2);Número do envolvido no acidente. Exemplo: 1 - Paulo Sergio da Silva, 2 - Lorival Oliveira Franco.
 condutor;CHAR(1);Indica se o envolvido no acidente e condutor ou nao. Valores possiveis: 'S'- sim, 'N' - Nao e 0 - Não informado.
 cod_severidade;NUMBER(1);Codigo da severidade. Exemplo: 0 - nao informado, 1 - nao fatal, 2 - fatal, 3 - sem ferimentos.
 desc_severidade;VARCHAR2(14);Descrição da severidade
 sexo;CHAR(1);Sexo do envolvido. Valores possíveis: M-Masculino, F-Feminino e 0-Não informado.
 cinto_seguranca;CHAR(1);Indica se o envolvido no acidente estava usando o cinto de segurança.
 Embreagues;CHAR(1);Indica se o envolvido no acidente estava embriagado.
 Idade;NUMBER(3);idade do envolvido. Exemplo: 26.
 nascimento;DATE;Data de nascimento do envolvido. Exemplo: 14/11/1974.
 categoria_habilitacao;VARCHAR2(3);Codigo da categoria de habilitacao. Exemplo: IN - Inabilitado, N - Nao informado, B - veiculos motor, com ate 8 passageiros, peso maximo 3500 kg, C - veic. motor p/ transp. de carga, c/ peso max. aut. 3500 kg.
 descricao_habilitacao;VARCHAR2(59);"Calculado a partir do valor de ""categoria_habilitacao"" "
 declaracao_obito;NUMBER(8);Número da declaração de óbito
 cod_severidade_antiga;NUMBER(1);Codigo da severidade antiga. Exemplo: 0 - nao informado, 1 - nao fatal, 2 - fatal, 3 - sem ferimentos.
especie_veiculo;VARCHAR2(30);Descricao do codigo da especie do veiculo. Exemplos: 1 - bicicleta, 2 - ciclomotor, 3 - motoneta, 4 - motocicleta, 5 - triciclo, 6 - automovel.
 pedestre;CHAR(1);Indicativo de Pedestre (para os acidentes a partir de 2015). Exemplo: 0 - nao informado, S - Sim, N - Nao.
 passageiro;CHAR(1);Indicativo de Passageiro  (para os acidentes a partir de 2015). Exemplo: 0 - nao informado, S - Sim, N - Nao.
